ekatte,name,name_en,oblast,region,nuts1,nuts2,nuts3,document,full_name_bul
04279,Благоевград,Blagoevgrad,BLG,BG41,BG4,BG41,BG413,1896,"гр. Благоевград, общ. Благоевград, обл. Благоевград"
07079,Бургас,Burgas,BGS,BG34,BG3,BG34,BG341,1678,"гр. Бургас, общ. Бургас, обл. Бургас"
10135,Варна,Varna,VAR,BG33,BG3,BG33,BG331,1896,"гр. Варна, общ. Варна, обл. Варна"
10447,Велико Търново,Veliko Tarnovo,VTR,BG32,BG3,BG32,BG321,1896,"гр. Велико Търново, общ. Велико Търново, обл. Велико Търново"
10971,Видин,Vidin,VID,BG31,BG3,BG31,BG311,1896,"гр. Видин, общ. Видин, обл. Видин"
12259,Враца,Vratsa,VRC,BG31,BG3,BG31,BG313,1483,"гр. Враца, общ. Враца, обл. Враца"
14218,Габрово,Gabrovo,GAB,BG32,BG3,BG32,BG322,1483,"гр. Габрово, общ. Габрово, обл. Габрово"
72624,Добрич,Dobrich,DOB,BG33,BG3,BG33,BG332,1483,"гр. Добрич, общ. Добрич, обл. Добрич"
40909,Кърджали,Kardzhali,KRZ,BG42,BG4,BG42,BG425,1483,"гр. Кърджали, общ. Кърджали, обл. Кърджали"
41112,Кюстендил,Kyustendil,KNL,BG41,BG4,BG41,BG415,1483,"гр. Кюстендил, общ. Кюстендил, обл. Кюстендил"
43952,Ловеч,Lovech,LOV,BG31,BG3,BG31,BG315,1896,"гр. Ловеч, общ. Ловеч, обл. Ловеч"
48489,Монтана,Montana,MON,BG31,BG3,BG31,BG312,1483,"гр. Монтана, общ. Монтана, обл. Монтана"
55155,Пазарджик,Pazardzhik,PAZ,BG42,BG4,BG42,BG423,1862,"гр. Пазарджик, общ. Пазарджик, обл. Пазарджик"
55871,Перник,Pernik,PER,BG41,BG4,BG41,BG414,1483,"гр. Перник, общ. Перник, обл. Перник"
56722,Плевен,Pleven,PVN,BG31,BG3,BG31,BG314,1483,"гр. Плевен, общ. Плевен, обл. Плевен"
56784,Пловдив,Plovdiv,PDV,BG42,BG4,BG42,BG421,1483,"гр. Пловдив, общ. Пловдив, обл. Пловдив"
61710,Разград,Razgrad,RAZ,BG32,BG3,BG32,BG324,1483,"гр. Разград, общ. Разград, обл. Разград"
63427,Русе,Ruse,RSE,BG32,BG3,BG32,BG323,1896,"гр. Русе, общ. Русе, обл. Русе"
66425,Силистра,Silistra,SLS,BG32,BG3,BG32,BG325,1483,"гр. Силистра, общ. Силистра, обл. Силистра"
67338,Сливен,Sliven,SLV,BG34,BG3,BG34,BG342,1896,"гр. Сливен, общ. Сливен, обл. Сливен"
67653,Смолян,Smolyan,SML,BG42,BG4,BG42,BG424,1483,"гр. Смолян, общ. Смолян, обл. Смолян"
68134,София,Sofia,SFO,BG41,BG4,BG41,BG412,1483,"гр. София, общ. Столична, обл. София (столица)"
68134,София (столица),Sofia (stolitsa),SOF,BG41,BG4,BG41,BG411,1483,"гр. София, общ. Столична, обл. София (столица)"
68850,Стара Загора,Stara Zagora,SZR,BG34,BG3,BG34,BG344,1896,"гр. Стара Загора, общ. Стара Загора, обл. Стара Загора"
73626,Търговище,Targovishte,TGV,BG33,BG3,BG33,BG334,1483,"гр. Търговище, общ. Търговище, обл. Търговище"
77195,Хасково,Haskovo,HKV,BG42,BG4,BG42,BG422,1896,"гр. Хасково, общ. Хасково, обл. Хасково"
83510,Шумен,Shumen,SHU,BG33,BG3,BG33,BG333,1896,"гр. Шумен, общ. Шумен, обл. Шумен"
87374,Ямбол,Yambol,JAM,BG34,BG3,BG34,BG343,1483,"гр. Ямбол, общ. Ямбол, обл. Ямбол"
